Czech Republic,Prague,"Met with President Klaus and Prime Minister Topolanek. Addressed Conference 
on Democracy and Security.","June 4–5, 2007",W. BUSH
Germany,Heiligen-damm,Attended the G-8 Summit Meeting. Also met with Chinese President Hu Jintao.,"June 5–8, 2007",W. BUSH
Poland,"Gdansk, Jurata Hel.",Met with President Kaczynski.,"June 8, 2007",W. BUSH
Italy,Rome,Met with Prime Minister Prodi and President Napolitano.,"June 8–10, 2007",W. BUSH
Vatican City,,Audience with Pope Benedict XVI.,"June 9, 2007",W. BUSH
Albania,Tirana,Met with President Moisu and Prime Minister Berisha.,"June 10, 2007",W. BUSH
Bulgaria,Sofia,Met with President Parvanov and Prime Minister Stanishev.,"June 10–11, 2007",W. BUSH
Canada,"Montebello, Quebec","Attended North American Leaders’ Summit with Mexican President Calderon and 
Canadian Prime Minister Harper.","August 20–21, 2007",W. BUSH
Iraq,Al-Assad Air Force Base,"Met with Gen. Petraeus, Secretary of State Rice, Secretary of Defense 
Gates, senior U.S. officials, and Iraqi political leaders.","September 3, 2007",W. BUSH
Australia,Sydney,Attended APEC Leaders’ Meeting.,"September 3–8, 2007",W. BUSH
Israel,"Tel Aviv, Jerusalem",Met with Prime Minister Olmert and President Peres. Visited Yad Vashem.,"January 9–11, 2008",W. BUSH
Palestinian Authority,"Ramallah, Bethlehem",Met with President Abbas and visited the Church of the Nativity.,"January 10, 2008",W. BUSH
Kuwait,"Kuwait City, Camp Arifjan","Attended Roundtable on Democracy and Development. Met with Gen. Petraeus 
and Ambassador Crocker at Camp Arifjan and addressed U.S. military 
personnel.","January 11–12, 2008",W. BUSH
Bahrain,Manama,Met with King Hamad bin Isa al –Khalifa. Addressed U.S. military personnel.,"January 12–13, 2008",W. BUSH
United Arab Emirates,"Abu Dhabi, Dubai","Met with President Khalifa bin Zayid al Nuhayyin and Crown Prince Sheikh 
Mohammed.","January 13–14, 2008",W. BUSH
Saudi Arabia,"Riyadh, Al-Janadriyah",Met with King Abdullah.,"January 14–16, 2008",W. BUSH
Egypt,Sharm el-Sheikh,Met with President Mubarak.,"January 16, 2008",W. BUSH
Benin,Porto Novo,Met with President Boni.,"February 16, 2008",W. BUSH
Tanzania,"Dar es Salaam, Arusha","Met with President Kikwete, signed Millennium Challenge agreement.","February 16–19, 2008",W. BUSH
Rwanda,Kigali,Met with President Kagame and dedicated new Embassy.,"February 19, 2008",W. BUSH
Ghana,Accra,Met with President Kufuor.,"February 19–21, 2008",W. BUSH
Liberia,Liberia,Met with President Johnson Sirleaf.,"February 21, 2008",W. BUSH
Ukraine,Kyiv,Met with President Yushchenko and Prime Minister Tymoshenko.,"March 31–April 1, 2008",W. BUSH
Romania,Bucharest,"Met with President Basescu and Prime Minister Popescu-Tariceanu. Attended 
NATO, Euro-Atlantic Partnership Council, NATO-Ukraine Commission, and 
NATO-Russia Council Summit Meetings.","April 2–4, 2008",W. BUSH
Croatia,Zagreb,Met with President Mesic.,"April 4–5, 2008",W. BUSH
Russia,Sochi,Met with President Putin and President-elect Medvedev.,"April 5–6, 2008",W. BUSH
Israel,"Tel Aviv, Jerusalem, Masada","Met with President Peres and Prime Minister Olmert. Addressed the Knesset. 
Commemorated Israel’s 60th anniversary.","May 14–16, 2008",W. BUSH
Saudi Arabia,"Riyadh, Al-Janadriyah",Met with King Abdullah.,"May 16–17, 2008",W. BUSH
Egypt,Sharm el-Sheikh,"Met with President Mubarak, King Abdullah II of Jordan, Palestinian 
Authority President Abbas and Prime Minister Fayyad, Afghan President 
Karzai and Pakistani Prime Minister Gilan. Addressed the World Economic 
Forum.","May 17–18, 2008",W. BUSH
Slovenia,Ljubljana,"Met with President Turk and Prime Minister Jansa. Attended the EU-US Summit 
Meeting.","June 9–10, 2008",W. BUSH
Germany,Meseberg,Met with Chancellor Merkel.,"June 10–11, 2008",W. BUSH
Italy,Rome,Met with President Napolitano and Prime Minister Berlusconi.,"June 11–13, 2008",W. BUSH
Vatican City,,Met with Pope Benedict XVI.,"June 13, 2008",W. BUSH
France,Paris,"Met with President Sarkozy. Addressed the OECD. Attended wreath-laying 
ceremonies at Suresnes and Mont Valerien.","June 13–15, 2008",W. BUSH
United Kingdom,"London, Belfast","Met with Queen Elizabeth II at Windsor Castle. Met with Prime Minister 
Blair and Quartet Representative Blair. In Belfast, met with First Minister 
Robertson and Deputy First Minister McGuinness.","June 15–16, 2008",W. BUSH
Japan,Toyako,"Attended the G-8 Economic Summit. Also met with Tanzanian President 
Kikwete, Indian Prime Minister Singh, Chinese President Hu, and South 
Korean President Lee.","July 6–9, 2008",W. BUSH
"Korea, Republic of","Seoul, Yongsan",Met with President Lee and addressed U.S. military personnel.,"August 5–6, 2008",W. BUSH
Thailand,Bangkok,Met with Prime Minister Samak and addressed Burmese activists.,"August 6–7, 2008",W. BUSH
China,Beijing,"Attended opening ceremonies of the Olympic Games. Dedicated a new U.S. 
Embassy. Met with President Hu and Russian Prime Minister Putin.","August 7–11, 2008",W. BUSH
Peru,Lima,Attended the APEC Summit Meeting and met with President Garcia.,"November 21–23, 2008",W. BUSH
Iraq,Baghdad,"Met with President Talabani and Prime Minister Maliki. Signed Strategic 
Framework and Security Agreements. Visited U.S. military personnel.","December 14, 2008",W. BUSH
Afghanistan,Kabul,Met with President Karzai and visited U.S. military personnel.,"December 14–15, 2008",W. BUSH
Country,Locale,Remarks,Date,
Canada,Ottawa,Met with Prime Minister Harper.,"February 19, 2009",OBAMA
United Kingdom,London,"Met with Queen Elizabeth II and Prime Minister Brown. Attended the G-20 
Economic Summit Meeting.","March 31–April 3, 2009",OBAMA
France,Strasbourg,Attended the NATO Summit Meeting.,"April 3–4, 2009",OBAMA
Germany,"Baden-Baden, Kehl",Attended a working dinner for NATO leaders.,"April 3–4, 2009",OBAMA
Czech Republic,Prague,Attended U.S.-European Union Summit meeting.,"April 4–5, 2009",OBAMA
Turkey,"Ankara, Istanbul","Met with President Gul and Prime Minister Erdogan; addressed the Grand 
National Assembly.","April 5–7, 2009",OBAMA
Iraq,Baghdad,Met with President Talabani and U.S. military personnel.,"April 7, 2009",OBAMA
Mexico,Mexico City,Met with President Calderon.,"April 16–17, 2009",OBAMA
Trinidad and Tobago,Port-of-Spain,Attended the Summit of the Americas.,"April 17–19, 2009",OBAMA
Saudi Arabia,Riyadh,Met with King Abdullah.,"June 3–4, 2009",OBAMA
Egypt,Cairo,Met with President Mubarak and delivered and address at Cairo University.,"June 4, 2009",OBAMA
